point50705 ( 41551 , 166649 ) 
point86457 ( 778493 , 254220 ) 
point1086 ( 466925 , 906870 ) 
point18913 ( 954256 , 44824 ) 
point73823 ( 791608 , 279550 ) 
point61286 ( 797661 , 298126 ) 
point32892 ( 695072 , 698856 ) 
point29527 ( 123128 , 761918 ) 
point16973 ( 877933 , 402594 ) 
point26401 ( 878500 , 15882 ) 
point37416 ( 815197 , 249471 ) 
point32923 ( 607906 , 616220 ) 
point74656 ( 760990 , 267267 ) 
point70168 ( 793984 , 260092 ) 
point58522 ( 870380 , 146578 ) 
point79978 ( 778592 , 255824 ) 
point29113 ( 458438 , 912244 ) 
point35366 ( 941781 , 669566 ) 
point91565 ( 776300 , 286240 ) 
point27630 ( 32373 , 674796 ) 
point28134 ( 93244 , 903162 ) 
point23657 ( 626158 , 605570 ) 
point11694 ( 427216 , 374128 ) 
point94059 ( 778546 , 270603 ) 
point24017 ( 531469 , 549230 ) 
point97489 ( 783860 , 288631 ) 
point6876 ( 864939 , 912917 ) 
point16418 ( 807581 , 239037 ) 
point87994 ( 789481 , 256472 ) 
point58105 ( 155636 , 1119 ) 
point13820 ( 559150 , 902084 ) 
point87757 ( 797112 , 297089 ) 
point37377 ( 225147 , 374364 ) 
point64153 ( 797755 , 294819 ) 
point15670 ( 567808 , 668194 ) 
point5103 ( 284256 , 79394 ) 
point11070 ( 719797 , 802341 ) 
point52560 ( 809235 , 833312 ) 
point47569 ( 94662 , 794748 ) 
point16860 ( 147454 , 750590 ) 
point2187 ( 809907 , 143795 ) 
point3974 ( 12348 , 901796 ) 
point13129 ( 255666 , 60233 ) 
point7 ( 324253 , 770538 ) 
point52197 ( 383473 , 965077 ) 
point76446 ( 754730 , 250287 ) 
point35039 ( 578838 , 933629 ) 
point47007 ( 234352 , 30524 ) 
point6984 ( 120177 , 454115 ) 
point188 ( 622097 , 707540 ) 
point83612 ( 761828 , 295843 ) 
point48481 ( 69020 , 526652 ) 
point56426 ( 524635 , 734943 ) 
point52104 ( 788061 , 401923 ) 
point88256 ( 759813 , 295115 ) 
point34720 ( 431615 , 97798 ) 
point42467 ( 788633 , 586290 ) 
point34037 ( 777216 , 709351 ) 
point16712 ( 314772 , 836597 ) 
point78121 ( 799811 , 253954 ) 
point26153 ( 807242 , 467412 ) 
point46996 ( 956336 , 918987 ) 
point50666 ( 904075 , 740244 ) 
point46816 ( 927650 , 440999 ) 
point97135 ( 776381 , 257097 ) 
point75758 ( 764652 , 296395 ) 
point12442 ( 549342 , 863535 ) 
point12305 ( 821260 , 351549 ) 
point63878 ( 757235 , 273870 ) 
point2006 ( 252753 , 55001 ) 
point55798 ( 46709 , 450356 ) 
point42939 ( 994470 , 399007 ) 
point38859 ( 455211 , 395145 ) 
point61388 ( 759166 , 252586 ) 
point58047 ( 745884 , 976710 ) 
point97026 ( 752241 , 287375 ) 
point55058 ( 275800 , 285863 ) 
point27583 ( 8014 , 617552 ) 
point39532 ( 159634 , 588348 ) 
point90765 ( 768830 , 297339 ) 
point29841 ( 411130 , 506756 ) 
point69053 ( 773630 , 281863 ) 
point72869 ( 799768 , 252166 ) 
point60143 ( 773672 , 262497 ) 
point22249 ( 946301 , 459998 ) 
point29694 ( 33091 , 54008 ) 
point95506 ( 776466 , 288532 ) 
point66599 ( 756738 , 255666 ) 
point76769 ( 764294 , 281703 ) 
point94121 ( 767397 , 285647 ) 
point58697 ( 506746 , 503329 ) 
point51388 ( 955341 , 671840 ) 
point56037 ( 790382 , 813557 ) 
point75510 ( 781354 , 289510 ) 
point46313 ( 198497 , 983999 ) 
point95757 ( 752824 , 266383 ) 
point62231 ( 769114 , 274231 ) 
point74692 ( 770437 , 291525 ) 
point41202 ( 667293 , 317401 ) 
point47586 ( 772573 , 156706 ) 
point43332 ( 205775 , 918470 ) 
point30417 ( 237968 , 349766 ) 
point57018 ( 535460 , 998879 ) 
point4269 ( 848062 , 869650 ) 
point80895 ( 763429 , 262206 ) 
point95827 ( 773774 , 260194 ) 
point23263 ( 484229 , 841378 ) 
point74266 ( 765531 , 260303 ) 
point74928 ( 768809 , 266244 ) 
point62669 ( 788110 , 268758 ) 
point66505 ( 789560 , 295730 ) 
point94348 ( 792932 , 258725 ) 
point16257 ( 949657 , 183307 ) 
point97809 ( 791025 , 284081 ) 
point11074 ( 159951 , 937991 ) 
point20327 ( 83881 , 967030 ) 
point23248 ( 802400 , 315583 ) 
point63769 ( 754018 , 282186 ) 
point36829 ( 3207 , 463238 ) 
point71133 ( 794266 , 287216 ) 
point44086 ( 252274 , 212269 ) 
point1647 ( 825554 , 978366 ) 
point91566 ( 782555 , 299974 ) 
point97598 ( 751816 , 253365 ) 
point99381 ( 780635 , 258005 ) 
point63844 ( 782288 , 299078 ) 
point92243 ( 796126 , 268039 ) 
point43321 ( 215485 , 208867 ) 
point7212 ( 996110 , 624165 ) 
point4411 ( 992886 , 860666 ) 
point66259 ( 783307 , 297194 ) 
point39147 ( 826143 , 713029 ) 
point25765 ( 78161 , 735968 ) 
point79416 ( 761354 , 289600 ) 
point81646 ( 768884 , 282165 ) 
point6787 ( 377673 , 942492 ) 
point62757 ( 769442 , 297122 ) 
point17782 ( 105775 , 325164 ) 
point56759 ( 517594 , 38633 ) 
point60915 ( 789761 , 295325 ) 
point54804 ( 55481 , 309656 ) 
point15708 ( 544035 , 145726 ) 
point5744 ( 52656 , 202583 ) 
point50936 ( 408665 , 744587 ) 
point95905 ( 788492 , 251602 ) 
point61515 ( 752373 , 280272 ) 
point31403 ( 262079 , 571069 ) 
point39694 ( 126428 , 919990 ) 
point37038 ( 898169 , 882247 ) 
point15867 ( 9872 , 518643 ) 
point75923 ( 768887 , 284943 ) 
point53960 ( 576303 , 985332 ) 
point31431 ( 44701 , 603788 ) 
point73344 ( 773686 , 266583 ) 
point8118 ( 767513 , 231066 ) 
point45802 ( 351586 , 745556 ) 
point66164 ( 789467 , 295386 ) 
point19120 ( 633398 , 906790 ) 
point69042 ( 795355 , 297569 ) 
point62326 ( 758578 , 290183 ) 
point95258 ( 772726 , 295779 ) 
point24484 ( 372232 , 669458 ) 
point75619 ( 797103 , 269102 ) 
point20479 ( 894838 , 181944 ) 
point30857 ( 691929 , 888538 ) 
point60764 ( 759989 , 272123 ) 
point5123 ( 402375 , 924350 ) 
point42777 ( 333180 , 264383 ) 
point67295 ( 781232 , 297476 ) 
point27263 ( 333222 , 170854 ) 
point54237 ( 699350 , 597633 ) 
point64435 ( 779229 , 269519 ) 
point87903 ( 762389 , 273229 ) 
point67306 ( 763827 , 287086 ) 
point9034 ( 671243 , 528538 ) 
point42704 ( 50503 , 267227 ) 
point84929 ( 774168 , 254791 ) 
point523 ( 563449 , 430813 ) 
point90821 ( 796587 , 276528 ) 
point63908 ( 781188 , 276354 ) 
point78441 ( 772814 , 299431 ) 
point89970 ( 786889 , 262505 ) 
point69147 ( 776290 , 262603 ) 
point1204 ( 939952 , 929084 ) 
point12276 ( 501494 , 549899 ) 
point25337 ( 154370 , 231611 ) 
point70636 ( 753539 , 293715 ) 
point86166 ( 795967 , 259132 ) 
point84596 ( 789680 , 274795 ) 
point55823 ( 948474 , 552973 ) 
point23459 ( 331769 , 445865 ) 
point40156 ( 606705 , 837107 ) 
point8569 ( 630187 , 777229 ) 
point35983 ( 50102 , 680520 ) 
point88507 ( 787813 , 298940 ) 
point73471 ( 794291 , 270508 ) 
point58678 ( 835592 , 407280 ) 
point75841 ( 752879 , 254493 ) 
point9066 ( 93722 , 783584 ) 
point20194 ( 82123 , 659435 ) 
point56647 ( 49112 , 514234 ) 
point15956 ( 345014 , 241585 ) 
point74124 ( 780587 , 295267 ) 
point10761 ( 958447 , 792162 ) 
point44117 ( 619469 , 273573 ) 
point58726 ( 789831 , 277426 ) 
point2636 ( 5067 , 782085 ) 
point98926 ( 773482 , 286409 ) 
point50942 ( 261477 , 830432 ) 
point90168 ( 759153 , 256071 ) 
point16437 ( 226949 , 13967 ) 
point7176 ( 67342 , 264112 ) 
point49602 ( 995493 , 883114 ) 
point27484 ( 865782 , 759007 ) 
point3683 ( 397557 , 74261 ) 
point73169 ( 754497 , 298916 ) 
point2254 ( 188333 , 444329 ) 
point82348 ( 766365 , 268253 ) 
point47242 ( 224834 , 551825 ) 
point9363 ( 722346 , 19122 ) 
point2133 ( 613263 , 191673 ) 
point79282 ( 755891 , 297434 ) 
point19344 ( 7803 , 896235 ) 
point81557 ( 769635 , 290668 ) 
point56028 ( 550003 , 411175 ) 
point7370 ( 221961 , 942887 ) 
point45167 ( 908266 , 624727 ) 
point46603 ( 718105 , 443826 ) 
point13833 ( 570143 , 319806 ) 
point48876 ( 813582 , 728002 ) 
point43089 ( 256872 , 993633 ) 
point76981 ( 771684 , 290829 ) 
point69081 ( 788603 , 271517 ) 
point23595 ( 547486 , 104717 ) 
point50707 ( 783967 , 654484 ) 
point23796 ( 357410 , 708726 ) 
point11138 ( 269152 , 811218 ) 
point12479 ( 971435 , 197322 ) 
point20556 ( 594042 , 695869 ) 
point45486 ( 292151 , 428651 ) 
point5402 ( 291990 , 734701 ) 
point87341 ( 793926 , 260737 ) 
point47345 ( 991900 , 193104 ) 
point64105 ( 761761 , 254132 ) 
point4357 ( 419554 , 791597 ) 
point12531 ( 2890 , 24955 ) 
point80966 ( 780352 , 257661 ) 
point41937 ( 890526 , 80267 ) 
point22480 ( 440448 , 616572 ) 
point5691 ( 839978 , 694133 ) 
point54218 ( 72229 , 733110 ) 
point57435 ( 325698 , 126236 ) 
point98096 ( 761990 , 267114 ) 
point26278 ( 178050 , 969047 ) 
point25638 ( 786915 , 132302 ) 
point28452 ( 75527 , 444661 ) 
point79068 ( 776027 , 287820 ) 
point66049 ( 793043 , 263448 ) 
point39232 ( 145104 , 241913 ) 
point67152 ( 750507 , 296590 ) 
point70162 ( 790623 , 275472 ) 
point83255 ( 779181 , 276756 ) 
point16225 ( 167901 , 255605 ) 
point64048 ( 780363 , 284005 ) 
point2109 ( 999891 , 115130 ) 
point87491 ( 757446 , 251665 ) 
point39489 ( 987955 , 765253 ) 
point69029 ( 792174 , 252282 ) 
point16852 ( 495967 , 629932 ) 
point51158 ( 785902 , 975578 ) 
point89815 ( 773532 , 284710 ) 
point81155 ( 755907 , 294062 ) 
point20277 ( 456226 , 898772 ) 
point94531 ( 782088 , 263930 ) 
point39228 ( 430104 , 38144 ) 
point81216 ( 761861 , 262647 ) 
point65506 ( 799755 , 285514 ) 
point74308 ( 799992 , 259379 ) 
point76149 ( 756202 , 271562 ) 
point47025 ( 848778 , 128149 ) 
point48017 ( 44897 , 322029 ) 
point51274 ( 37214 , 844338 ) 
point73929 ( 766457 , 272340 ) 
point96213 ( 778860 , 292313 ) 
point46086 ( 455490 , 790782 ) 
point87268 ( 760549 , 267668 ) 
point85844 ( 790202 , 256116 ) 
point43448 ( 188085 , 737478 ) 
point6597 ( 326923 , 161111 ) 
point71227 ( 786957 , 290811 ) 
point48772 ( 725346 , 638395 ) 
point6753 ( 416327 , 840978 ) 
point83276 ( 781798 , 257786 ) 
point94053 ( 761835 , 291584 ) 
point22697 ( 513822 , 93248 ) 
point9496 ( 806622 , 493734 ) 
point72333 ( 799607 , 285244 ) 
point13531 ( 208944 , 483675 ) 
point58203 ( 99450 , 210091 ) 
point84962 ( 793641 , 255660 ) 
point44563 ( 868608 , 650432 ) 
point13871 ( 478960 , 929803 ) 
point33474 ( 668115 , 448674 ) 
point59298 ( 983630 , 634543 ) 
point69614 ( 791278 , 275875 ) 
point19318 ( 419212 , 17751 ) 
point36470 ( 605028 , 703275 ) 
point24642 ( 939885 , 477162 ) 
point32542 ( 793660 , 469626 ) 
point33793 ( 127017 , 480290 ) 
point17272 ( 850299 , 538404 ) 
point49396 ( 603904 , 890663 ) 
point9229 ( 234157 , 774135 ) 
point72028 ( 759735 , 293602 ) 
point91894 ( 751698 , 288514 ) 
point20032 ( 566560 , 279207 ) 
point16102 ( 503907 , 256715 ) 
point92687 ( 777856 , 287245 ) 
point39986 ( 654879 , 406960 ) 
point60312 ( 773138 , 279835 ) 
point43901 ( 963372 , 71132 ) 
point97106 ( 773986 , 281394 ) 
point49138 ( 69085 , 449267 ) 
point21507 ( 565971 , 188239 ) 
point36947 ( 363943 , 313336 ) 
point54487 ( 558503 , 370237 ) 
point97127 ( 762553 , 284459 ) 
point4686 ( 84786 , 867227 ) 
point87857 ( 751230 , 266421 ) 
point73078 ( 772016 , 250388 ) 
point41728 ( 180656 , 489120 ) 
point85618 ( 762323 , 287155 ) 
point83737 ( 775163 , 255576 ) 
point36651 ( 659384 , 115084 ) 
point19936 ( 532803 , 355290 ) 
point11695 ( 105871 , 633095 ) 
point43350 ( 436684 , 995594 ) 
point28978 ( 577368 , 261691 ) 
point82773 ( 781189 , 254157 ) 
point23839 ( 114290 , 981897 ) 
point29215 ( 114010 , 408023 ) 
point24489 ( 775676 , 870473 ) 
point63037 ( 755285 , 297422 ) 
point7224 ( 699313 , 591576 ) 
point1291 ( 717934 , 363525 ) 
point84130 ( 789759 , 299330 ) 
point79720 ( 769834 , 299207 ) 
point68311 ( 796237 , 271862 ) 
point78836 ( 752462 , 283184 ) 
point6595 ( 32489 , 493508 ) 
point98135 ( 783079 , 283119 ) 
point62017 ( 792565 , 263875 ) 
point88659 ( 783093 , 265442 ) 
point67898 ( 757895 , 286911 ) 
point28416 ( 323520 , 401859 ) 
point48354 ( 286254 , 549638 ) 
point78768 ( 798180 , 266359 ) 
point45759 ( 619191 , 34895 ) 
point41134 ( 425651 , 511538 ) 
point52250 ( 189690 , 196832 ) 
point81147 ( 753165 , 254203 ) 
point61493 ( 796286 , 292122 ) 
point57955 ( 136835 , 763880 ) 
point23326 ( 559455 , 351091 ) 
point81113 ( 768346 , 292170 ) 
point42350 ( 374038 , 491690 ) 
point79077 ( 796671 , 271159 ) 
point65873 ( 794185 , 285188 ) 
point27744 ( 53135 , 846373 ) 
point81762 ( 763884 , 262073 ) 
point24048 ( 387088 , 149429 ) 
point61156 ( 780168 , 273173 ) 
point10415 ( 803802 , 453416 ) 
point67383 ( 777322 , 266234 ) 
point66775 ( 757806 , 252986 ) 
point64407 ( 790302 , 265096 ) 
point85250 ( 755049 , 284840 ) 
point16912 ( 733994 , 725392 ) 
point21542 ( 899948 , 994957 ) 
point33723 ( 583066 , 239216 ) 
point69928 ( 763278 , 251373 ) 
point61843 ( 753382 , 259476 ) 
point92841 ( 764037 , 290928 ) 
point54987 ( 418793 , 742790 ) 
point40585 ( 989017 , 938123 ) 
point32478 ( 23827 , 629648 ) 
point26166 ( 891447 , 44224 ) 
point1174 ( 164357 , 35810 ) 
point65141 ( 758710 , 286796 ) 
point77089 ( 763150 , 287205 ) 
point14082 ( 19831 , 993384 ) 
point63765 ( 793131 , 278741 ) 
point33448 ( 933487 , 875889 ) 
point52717 ( 361182 , 702067 ) 
point26063 ( 296935 , 917398 ) 
point58983 ( 773344 , 620763 ) 
point41758 ( 682104 , 99026 ) 
point91543 ( 784519 , 277810 ) 
point6307 ( 386999 , 320329 ) 
point22479 ( 837111 , 753066 ) 
point89450 ( 772976 , 266874 ) 
point15175 ( 688141 , 877314 ) 
point80129 ( 792537 , 267795 ) 
point4313 ( 721538 , 241662 ) 
point32891 ( 377366 , 33496 ) 
point93414 ( 768547 , 271967 ) 
point44673 ( 14121 , 864564 ) 
point27539 ( 731924 , 557877 ) 
point38280 ( 398182 , 929778 ) 
point50009 ( 68661 , 168241 ) 
point29042 ( 860314 , 320438 ) 
point15262 ( 944456 , 595837 ) 
point48478 ( 85771 , 933540 ) 
point93562 ( 756154 , 269489 ) 
point5852 ( 368544 , 561748 ) 
point72579 ( 755324 , 288080 ) 
point57117 ( 752678 , 991880 ) 
point94406 ( 796008 , 255562 ) 
point78064 ( 784901 , 294556 ) 
point45289 ( 613011 , 135988 ) 
point722 ( 422815 , 9407 ) 
point54309 ( 943494 , 154904 ) 
point99048 ( 754167 , 292012 ) 
point25385 ( 710938 , 758152 ) 
point5202 ( 372957 , 823983 ) 
point56336 ( 970781 , 933357 ) 
point53125 ( 107394 , 688208 ) 
point36632 ( 543667 , 989711 ) 
point16400 ( 980636 , 512738 ) 
point96123 ( 777087 , 268746 ) 
point57984 ( 829151 , 913466 ) 
point3494 ( 728504 , 865754 ) 
point95534 ( 773813 , 270567 ) 
point91071 ( 778217 , 298218 ) 
point46059 ( 999260 , 53490 ) 
point68583 ( 795259 , 265140 ) 
point64112 ( 799103 , 254284 ) 
point54217 ( 299430 , 114396 ) 
point93282 ( 750771 , 284201 ) 
point36973 ( 632844 , 249950 ) 
point50314 ( 929094 , 862568 ) 
point2947 ( 691981 , 919913 ) 
point37591 ( 40735 , 449355 ) 
point15448 ( 882548 , 915392 ) 
point76541 ( 751775 , 276681 ) 
point70694 ( 761444 , 281951 ) 
point60162 ( 778429 , 281480 ) 
point83890 ( 789020 , 263198 ) 
point64132 ( 784229 , 259385 ) 
point55300 ( 730394 , 501230 ) 
point94741 ( 793685 , 261484 ) 
point34339 ( 582941 , 602581 ) 
point60386 ( 797039 , 276131 ) 
point83174 ( 751267 , 299124 ) 
point50341 ( 865858 , 843727 ) 
point8875 ( 62259 , 500715 ) 
point95784 ( 766965 , 295728 ) 
point73409 ( 759696 , 267174 ) 
point65272 ( 784801 , 263608 ) 
point47938 ( 266454 , 374493 ) 
point69278 ( 776875 , 251864 ) 
point95847 ( 769931 , 263170 ) 
point55905 ( 530610 , 274964 ) 
point52827 ( 361630 , 811906 ) 
point39942 ( 16347 , 551692 ) 
point77714 ( 768050 , 262029 ) 
point71844 ( 754589 , 265170 ) 
point62333 ( 797078 , 285452 ) 
point39634 ( 138422 , 783394 ) 
point25244 ( 322904 , 479078 ) 
point34221 ( 447237 , 710585 ) 
point43567 ( 754305 , 89257 ) 
point42593 ( 820706 , 382876 ) 
point83147 ( 758039 , 255464 ) 
point22115 ( 409482 , 459442 ) 
point81400 ( 765824 , 296613 ) 
point78355 ( 792965 , 261975 ) 
point34404 ( 895838 , 644430 ) 
point60447 ( 788755 , 282894 ) 
point71158 ( 760750 , 276676 ) 
point81861 ( 762381 , 298198 ) 
point30852 ( 845046 , 480157 ) 
point27038 ( 868771 , 554086 ) 
point63564 ( 764911 , 259804 ) 
point61446 ( 762383 , 294147 ) 
point64704 ( 769993 , 276524 ) 
point83861 ( 752294 , 265367 ) 
point10080 ( 817568 , 54067 ) 
point20290 ( 153590 , 855655 ) 
point28478 ( 954775 , 162303 ) 
point54359 ( 110352 , 693861 ) 
point71550 ( 760117 , 254863 ) 
point13600 ( 665860 , 693681 ) 
point37037 ( 840516 , 648702 ) 
point39872 ( 691667 , 389087 ) 
point59351 ( 305356 , 302901 ) 
point3218 ( 260888 , 450375 ) 
point27389 ( 197531 , 817556 ) 
point2205 ( 371566 , 561078 ) 
point95791 ( 755759 , 254426 ) 
point33732 ( 964894 , 940945 ) 
point3532 ( 128760 , 531845 ) 
point5673 ( 956262 , 985036 ) 
point53105 ( 967427 , 444911 ) 
point99045 ( 752441 , 266662 ) 
point29496 ( 672134 , 562744 ) 
point40819 ( 61494 , 391734 ) 
point21664 ( 881623 , 70010 ) 
point90838 ( 762338 , 275902 ) 
point47223 ( 328395 , 735241 ) 
point16322 ( 79319 , 673021 ) 
point70642 ( 786546 , 283176 ) 
point75740 ( 768225 , 267941 ) 
point40626 ( 957786 , 382321 ) 
point18230 ( 240082 , 446445 ) 
point95821 ( 766831 , 293954 ) 
point57889 ( 453631 , 940579 ) 
point18921 ( 800796 , 610047 ) 
point99428 ( 766156 , 291148 ) 
point854 ( 859009 , 391514 ) 
point97353 ( 763872 , 250654 ) 
point71156 ( 769579 , 287966 ) 
point48861 ( 199860 , 837110 ) 
point21433 ( 687093 , 760905 ) 
point58814 ( 999115 , 894744 ) 
point94603 ( 761633 , 261516 ) 
point21846 ( 340413 , 55928 ) 
point79586 ( 782749 , 285273 ) 
point94873 ( 757299 , 253732 ) 
point16458 ( 976929 , 123299 ) 
point22026 ( 126028 , 560507 ) 
point92380 ( 780973 , 286666 ) 
point51266 ( 113929 , 350688 ) 
point80358 ( 779278 , 290954 ) 
point66157 ( 790801 , 268418 ) 
point99082 ( 780772 , 299437 ) 
point61275 ( 772154 , 277154 ) 
point87062 ( 784357 , 286907 ) 
point1373 ( 355100 , 966448 ) 
point4245 ( 216006 , 577847 ) 
point55558 ( 692910 , 867256 ) 
point150 ( 698488 , 693198 ) 
point70147 ( 795583 , 258470 ) 
point99230 ( 781660 , 280393 ) 
point47109 ( 970940 , 688927 ) 
point15859 ( 787805 , 635273 ) 
point17127 ( 368904 , 725483 ) 
point1414 ( 492481 , 3116 ) 
point33113 ( 229044 , 199436 ) 
point21459 ( 654840 , 58050 ) 
point10675 ( 395351 , 719907 ) 
point17854 ( 519273 , 740766 ) 
point80084 ( 799007 , 260227 ) 
point99201 ( 775706 , 280404 ) 
point643 ( 587718 , 547534 ) 
point19850 ( 354800 , 313081 ) 
point33204 ( 252777 , 78164 ) 
point28166 ( 383612 , 112901 ) 
point30751 ( 593456 , 711407 ) 
point57463 ( 749873 , 310217 ) 
point48641 ( 938165 , 713507 ) 
point85921 ( 768941 , 284443 ) 
point37175 ( 532361 , 987176 ) 
point56151 ( 639792 , 20195 ) 
point30715 ( 460123 , 938549 ) 
point87553 ( 791613 , 265171 ) 
point21171 ( 746096 , 138584 ) 
point81097 ( 752321 , 266198 ) 
point65862 ( 786011 , 258079 ) 
point52117 ( 8814 , 50823 ) 
point66374 ( 790330 , 250240 ) 
point82826 ( 798341 , 261917 ) 
point173 ( 336811 , 565226 ) 
point41961 ( 542349 , 7530 ) 
point28518 ( 212888 , 662204 ) 
point94032 ( 790004 , 275673 ) 
point51324 ( 958425 , 219131 ) 
point40538 ( 217123 , 547826 ) 
point69387 ( 770026 , 285036 ) 
point57329 ( 541131 , 853020 ) 
point75694 ( 794148 , 274326 ) 
point71325 ( 778588 , 250602 ) 
point11245 ( 799284 , 226929 ) 
point46860 ( 391553 , 740726 ) 
point68237 ( 757124 , 254431 ) 
point10345 ( 417090 , 570809 ) 
point63709 ( 777658 , 272041 ) 
point14638 ( 452474 , 374064 ) 
point63088 ( 789106 , 278482 ) 
point88791 ( 752167 , 264418 ) 
point73242 ( 753595 , 257822 ) 
point80472 ( 751582 , 269930 ) 
point26507 ( 429821 , 143892 ) 
point68477 ( 794751 , 269017 ) 
point39421 ( 940353 , 982078 ) 
point4717 ( 836560 , 435575 ) 
point29403 ( 791446 , 720742 ) 
point53315 ( 952429 , 500200 ) 
point59935 ( 27861 , 65350 ) 
point64598 ( 752753 , 257415 ) 
point88913 ( 769369 , 274910 ) 
point99775 ( 775200 , 271669 ) 
point1635 ( 493899 , 73558 ) 
point43971 ( 204827 , 963653 ) 
point94541 ( 787384 , 258721 ) 
point55130 ( 232494 , 639842 ) 
point8814 ( 672168 , 222426 ) 
point9418 ( 619699 , 349818 ) 
point89245 ( 778797 , 254710 ) 
point59395 ( 436857 , 958955 ) 
point35327 ( 381630 , 86384 ) 
point3386 ( 329568 , 728766 ) 
point66153 ( 755201 , 269695 ) 
point2788 ( 614222 , 623118 ) 
point93058 ( 754548 , 250592 ) 
point83004 ( 789596 , 285192 ) 
point1673 ( 708203 , 824679 ) 
point24608 ( 416639 , 514881 ) 
point91499 ( 765689 , 284199 ) 
point35519 ( 738671 , 913151 ) 
point67957 ( 796463 , 292423 ) 
point85845 ( 766265 , 255677 ) 
point63031 ( 784004 , 293602 ) 
point75973 ( 757100 , 262680 ) 
point43973 ( 65871 , 367088 ) 
point49690 ( 895618 , 961267 ) 
point8919 ( 907424 , 883295 ) 
point78056 ( 798362 , 286733 ) 
point15399 ( 703229 , 326947 ) 
point51717 ( 588152 , 473408 ) 
point42561 ( 610887 , 747218 ) 
point40441 ( 770583 , 937134 ) 
point10341 ( 726265 , 381252 ) 
point75447 ( 752358 , 295110 ) 
point55709 ( 275702 , 428305 ) 
point61159 ( 794787 , 285810 ) 
point82633 ( 793562 , 266225 ) 
point74279 ( 759533 , 267734 ) 
point28503 ( 319727 , 303485 ) 
point58566 ( 990903 , 472736 ) 
point70368 ( 770581 , 273965 ) 
point1481 ( 616506 , 683247 ) 
point554 ( 898705 , 401729 ) 
point24180 ( 340539 , 243209 ) 
point11454 ( 328 , 713856 ) 
point43919 ( 565669 , 933140 ) 
point69682 ( 797135 , 266219 ) 
point88053 ( 755209 , 254708 ) 
point63032 ( 775022 , 260275 ) 
point7128 ( 865247 , 222795 ) 
point25411 ( 652769 , 848349 ) 
point5753 ( 669219 , 718057 ) 
point76753 ( 774053 , 262522 ) 
point98059 ( 786067 , 298949 ) 
point2936 ( 460542 , 677870 ) 
point1793 ( 475472 , 874503 ) 
point61483 ( 773021 , 274512 ) 
point43651 ( 694974 , 334351 ) 
point72292 ( 765884 , 298526 ) 
point12281 ( 769491 , 587652 ) 
point5543 ( 783529 , 500339 ) 
point223 ( 768808 , 714147 ) 
point5892 ( 632020 , 537306 ) 
point6821 ( 592813 , 768939 ) 
point52148 ( 194111 , 754206 ) 
point87115 ( 766617 , 273322 ) 
point21829 ( 839994 , 862338 ) 
point59152 ( 960145 , 319622 ) 
point12022 ( 868145 , 859430 ) 
point80109 ( 791598 , 261194 ) 
point13319 ( 917267 , 918223 ) 
point19972 ( 8894 , 981195 ) 
point81151 ( 789203 , 294371 ) 
point54533 ( 911643 , 393075 ) 
point31217 ( 630444 , 266930 ) 
point4036 ( 740243 , 964589 ) 
point69272 ( 784090 , 294693 ) 
point353 ( 409933 , 861044 ) 
point66307 ( 756968 , 276435 ) 
point36345 ( 558856 , 160163 ) 
point68211 ( 798128 , 286613 ) 
point82937 ( 794317 , 259655 ) 
point27467 ( 897863 , 418274 ) 
point92820 ( 796455 , 260827 ) 
